slice,n,pos,raw.pr_auc,raw.roc_auc,raw.f1,raw.precision,raw.recall,raw.brier,raw.logloss,raw.ece,raw.threshold,raw.recall_at_p>=0.50,raw.threshold_at_p>=0.50,platt.pr_auc,platt.roc_auc,platt.f1,platt.precision,platt.recall,platt.brier,platt.logloss,platt.ece,platt.threshold,platt.recall_at_p>=0.50,platt.threshold_at_p>=0.50,isotonic.pr_auc,isotonic.roc_auc,isotonic.f1,isotonic.precision,isotonic.recall,isotonic.brier,isotonic.logloss,isotonic.ece,isotonic.threshold,isotonic.recall_at_p>=0.50,isotonic.threshold_at_p>=0.50
industry=29,10,3,0.9166666666666665,0.9523809523809524,0.8571428571428571,0.75,1.0,0.10914028849366506,0.3450410991801202,0.25431854102373563,0.4662064968252066,1.0,0.34245089028437803,0.9166666666666665,0.9523809523809524,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.09684908555295088,0.3276992961584934,0.25371511073344566,0.4662064968252066,1.0,0.2898415737333535,0.9166666666666666,0.9523809523809524,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10843271659077583,0.34400195646167797,0.24295778941457893,0.4662064968252066,1.0,0.2
industry=30,38,12,0.7319630540025277,0.8557692307692307,0.7142857142857143,0.625,0.8333333333333334,0.15627929242271466,0.48955966585140626,0.20652353738345602,0.4662064968252066,0.9166666666666666,0.3112720311731893,0.7319630540025277,0.8557692307692307,0.72,0.6923076923076923,0.75,0.14283830845031537,0.4394741497096829,0.1603854207384475,0.4662064968252066,0.9166666666666666,0.26902608148255963,0.7425040136814185,0.8573717948717948,0.6923076923076923,0.6428571428571429,0.75,0.14499097977042813,0.4492347464630134,0.094657433088344,0.4662064968252066,0.9166666666666666,0.1972694311594789
industry=31,5,2,1.0,1.0,0.6666666666666666,0.5,1.0,0.20435258435587644,0.5839156116179806,0.3226528052985009,0.4662064968252066,1.0,0.46721432000617463,1.0,1.0,0.8,0.6666666666666666,1.0,0.14236518913445462,0.42155009577777597,0.2887040016745789,0.4662064968252066,1.0,0.37376272029335367,1.0,1.0,0.8,0.6666666666666666,1.0,0.16652438168709235,0.4919996203519765,0.25786165777859316,0.4662064968252066,1.0,0.3888888888888889
industry=32,4,1,1.0,1.0,0.6666666666666666,0.5,1.0,0.07746008916589112,0.2894927756383219,0.2350357460450277,0.4662064968252066,1.0,0.4724686120313903,1.0,1.0,1.0,1.0,1.0,0.08460201724226793,0.31494015117240814,0.2578316052257131,0.4662064968252066,1.0,0.3773708284676112,1.0,1.0,1.0,1.0,1.0,0.051560620109748295,0.22565237467491514,0.19201465804726675,0.4662064968252066,1.0,0.3888888888888889
industry=33,8,4,0.8928571428571428,0.8125,0.8571428571428571,1.0,0.75,0.15547940435320423,0.5025606076225202,0.30502151485825685,0.4662064968252066,1.0,0.07799167325567008,0.8928571428571428,0.8125,0.6666666666666666,1.0,0.5,0.17539409305318676,0.5386040812796606,0.3331262451327243,0.4662064968252066,1.0,0.09780741573707992,0.8928571428571428,0.8125,0.8571428571428571,1.0,0.75,0.15114670956530094,0.49882624387164115,0.2649418887432017,0.4662064968252066,1.0,0.08653846153846154
industry=34,7,2,0.8333333333333333,0.9,0.5,0.3333333333333333,1.0,0.40614082634291393,1.7491507459858509,0.4677109423267546,0.4662064968252066,1.0,0.8807048993187339,0.8333333333333333,0.9,0.5,0.3333333333333333,1.0,0.3235617598794508,1.1886562289719933,0.38960812145394486,0.4662064968252066,1.0,0.738421457773626,0.8333333333333333,0.9,0.5,0.3333333333333333,1.0,0.3511577790311171,1.00876788614643,0.4331425023389309,0.4662064968252066,1.0,0.890625
industry=35,17,5,1.0,1.0,0.7142857142857143,0.5555555555555556,1.0,0.10997631806140402,0.3369393883955935,0.20967323510958574,0.4662064968252066,1.0,0.41479206998079843,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,0.08692267713591831,0.30448751482394476,0.18885703945381124,0.4662064968252066,1.0,0.33819218426369696,1.0,1.0,0.7692307692307693,0.625,1.0,0.08641949393540367,0.2885651934498241,0.2179571069438549,0.4662064968252066,1.0,0.3
industry=36,9,2,1.0,1.0,1.0,1.0,1.0,0.06126981003352559,0.22692327350215388,0.18549861215641852,0.4662064968252066,1.0,0.24633222088926326,1.0,1.0,1.0,1.0,1.0,0.08240542379820587,0.2759632379806238,0.21397509580497595,0.4662064968252066,1.0,0.2251414004976254,1.0,1.0,1.0,1.0,1.0,0.06612860049055587,0.2293674175265043,0.1803770479432648,0.4662064968252066,1.0,0.1111111111111111
industry=41,6,1,1.0,1.0,1.0,1.0,1.0,0.07093585795806351,0.2364537390124295,0.18392009285151928,0.4662064968252066,1.0,0.3856874553315002,1.0,1.0,0.0,0.0,0.0,0.08332565156444326,0.2703041669801049,0.09524555056504697,0.4662064968252066,1.0,0.31868454943136654,1.0,1.0,0.0,0.0,0.0,0.07569791292705547,0.24870950134858427,0.18535096767855389,0.4662064968252066,1.0,0.2413793103448276
industry=44,3,2,0.8333333333333333,0.5,0.8,0.6666666666666666,1.0,0.23450523573503104,0.6337288297541465,0.34985131683762966,0.4662064968252066,1.0,0.7521425480821055,0.8333333333333333,0.5,0.8,0.6666666666666666,1.0,0.19301749536342003,0.5192367436837219,0.3512633395717559,0.4662064968252066,1.0,0.5961223100212837,0.8333333333333333,0.75,0.8,0.6666666666666666,1.0,0.2297913859962922,0.636528223800005,0.221981721981722,0.4662064968252066,1.0,0.8051948051948052
industry=45,11,5,0.7944444444444445,0.7666666666666666,0.5714285714285714,1.0,0.4,0.2121670843253599,0.6339033549379254,0.2630184034881023,0.4662064968252066,1.0,0.01833600820399113,0.7944444444444445,0.7666666666666666,0.3333333333333333,1.0,0.2,0.22928143963970593,0.6617429219849739,0.23686355701078327,0.4662064968252066,1.0,0.03477408929392229,0.7944444444444445,0.7999999999999999,0.3333333333333333,1.0,0.2,0.24350127095756635,0.7114987699306476,0.29441066947834843,0.4662064968252066,1.0,0.08653846153846154
industry=47,7,1,1.0,1.0,1.0,1.0,1.0,0.058431728942280756,0.2337082126191952,0.19487298225917105,0.4662064968252066,1.0,0.4225557956568546,1.0,1.0,1.0,1.0,1.0,0.04745035887287903,0.2237864695609216,0.19443475814584169,0.4662064968252066,1.0,0.3434191062297842,1.0,1.0,1.0,1.0,1.0,0.028852812262480414,0.16874067261777315,0.15162314423797593,0.4662064968252066,1.0,0.3
industry=49,16,3,0.9166666666666666,0.9743589743589745,0.8571428571428571,0.75,1.0,0.07133870433028291,0.24993074123759948,0.19617558371551194,0.4662064968252066,1.0,0.3356614125522086,0.9166666666666666,0.9743589743589745,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.07331496562062925,0.26481168119620085,0.17040645037129787,0.4662064968252066,1.0,0.2853142152641639,0.9166666666666665,0.9743589743589745,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.054104881717970184,0.20894287034392928,0.16741021781020368,0.4662064968252066,1.0,0.2
industry=55,8,1,0.5,0.8571428571428572,0.5,0.3333333333333333,1.0,0.2623724275791681,1.4084708309967287,0.3583796482930636,0.4662064968252066,1.0,0.8537694063626554,0.5,0.8571428571428572,0.5,0.3333333333333333,1.0,0.2282208056155612,1.005617648715806,0.37787929332695375,0.4662064968252066,1.0,0.7040453346676309,0.3333333333333333,0.7857142857142857,0.5,0.3333333333333333,1.0,0.2190943683078145,0.7040804609851621,0.2924696144980156,0.4662064968252066,1.0,0.5
industry=56,2,1,1.0,1.0,1.0,1.0,1.0,0.10347350912530041,0.36614144698379697,0.29471531122162054,0.4662064968252066,1.0,0.4236199056193524,1.0,1.0,1.0,1.0,1.0,0.11011698958333822,0.4030473213360255,0.3316019857861902,0.4662064968252066,1.0,0.34413644253522935,1.0,1.0,1.0,1.0,1.0,0.06397453196154494,0.28667299037366234,0.24740259740259737,0.4662064968252066,1.0,0.3
industry=61,19,8,0.6309523809523809,0.7613636363636364,0.6666666666666666,0.7142857142857143,0.625,0.21832304033678626,0.7433849843504379,0.2402583037034707,0.4662064968252066,1.0,0.20978149672967064,0.6309523809523809,0.7613636363636364,0.46153846153846156,0.6,0.375,0.23305399479835284,0.6987309462673792,0.2640960767974918,0.4662064968252066,1.0,0.19978466892387395,0.6344246031746031,0.7329545454545455,0.5714285714285714,0.6666666666666666,0.5,0.2329908007392113,0.6731718140816311,0.23558357416533643,0.4662064968252066,0.875,0.1935483870967742
industry=62,12,4,0.6220238095238095,0.8125,0.75,0.75,0.75,0.16263088773957085,0.5069288350474345,0.1546435972850591,0.4662064968252066,1.0,0.2995832013694373,0.6220238095238095,0.8125,0.5714285714285714,0.6666666666666666,0.5,0.1580826884873857,0.4730007940992514,0.1321950008218088,0.4662064968252066,1.0,0.2611961449634857,0.6220238095238095,0.84375,0.5714285714285714,0.6666666666666666,0.5,0.16686330746832134,0.5036115634106689,0.15660405772887337,0.4662064968252066,1.0,0.1935483870967742
industry=64,10,1,1.0,1.0,0.5,0.3333333333333333,1.0,0.13006231334235308,0.3900022527174337,0.252123412254183,0.4662064968252066,1.0,0.7987597915305006,1.0,1.0,0.5,0.3333333333333333,1.0,0.09667509711442963,0.3195794452718955,0.17197777391123775,0.4662064968252066,1.0,0.6422541962861968,0.5,0.9444444444444445,0.5,0.3333333333333333,1.0,0.12654623472042842,0.38463755771753305,0.2051018868410173,0.4662064968252066,1.0,0.8051948051948052
industry=66,8,4,1.0,1.0,1.0,1.0,1.0,0.056491428629330265,0.23816274803328838,0.20097608805120057,0.4662064968252066,1.0,0.010009122444785301,1.0,1.0,1.0,1.0,1.0,0.08211861486044408,0.31313506668566304,0.259259259886218,0.4662064968252066,1.0,0.0225064705860708,1.0,1.0,1.0,1.0,1.0,0.030300032613607256,0.16928758887313022,0.1513025112719406,0.4662064968252066,1.0,0.0
industry=67,16,3,0.8666666666666667,0.9487179487179487,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08102010856767304,0.28259928499758713,0.14312061335151963,0.4662064968252066,1.0,0.3742201383665897,0.8666666666666667,0.9487179487179487,0.8,1.0,0.6666666666666666,0.08118501314862059,0.29140862188134153,0.1482403607981946,0.4662064968252066,1.0,0.3110258153049543,0.8333333333333333,0.9487179487179487,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.07024266000216624,0.25179851327177666,0.12698806095750204,0.4662064968252066,1.0,0.2413793103448276
industry=68,9,2,1.0,1.0,0.8,0.6666666666666666,1.0,0.12514298422705422,0.3930755250197085,0.2633947185731602,0.4662064968252066,1.0,0.4632257244460562,1.0,1.0,0.8,0.6666666666666666,1.0,0.09074657977175436,0.31644918694310653,0.2442981706977302,0.4662064968252066,1.0,0.37102980654498197,1.0,1.0,0.8,0.6666666666666666,1.0,0.09293295009714982,0.31228073742981916,0.18327210666566066,0.4662064968252066,1.0,0.3076923076923077
industry=80,5,3,0.8666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.24357093651947276,0.8174856474175869,0.3097577894928233,0.4662064968252066,1.0,0.04225535933016005,0.8666666666666667,0.6666666666666666,0.8,1.0,0.6666666666666666,0.2220910723612494,0.7363571687187613,0.3129965820120519,0.4662064968252066,1.0,0.06317589199497,0.8666666666666667,0.75,0.8,1.0,0.6666666666666666,0.21267150660429907,0.6714261250596695,0.29802350427350427,0.4662064968252066,1.0,0.08653846153846154
industry=81,9,2,1.0,1.0,1.0,1.0,1.0,0.019682221035865834,0.12321769446004081,0.11176067137086416,0.4662064968252066,1.0,0.17863442729680026,1.0,1.0,1.0,1.0,1.0,0.032452230622877914,0.15843598184010863,0.13740341174554882,0.4662064968252066,1.0,0.17754563934560175,1.0,1.0,1.0,1.0,1.0,0.009902845529677344,0.08856188524315727,0.0830998711433494,0.4662064968252066,1.0,0.8051948051948052
industry=82,6,1,1.0,1.0,0.6666666666666666,0.5,1.0,0.1098816706707843,0.3447580959791592,0.23796078814101604,0.4662064968252066,1.0,0.7225098884184724,1.0,1.0,0.6666666666666666,0.5,1.0,0.08491314746374767,0.30126612981527334,0.23728483396164432,0.4662064968252066,1.0,0.5689695335512034,0.5,0.9,0.6666666666666666,0.5,1.0,0.12438242224135887,0.3896601091844023,0.1770627700092403,0.4662064968252066,1.0,0.8051948051948052
industry=84,8,1,1.0,1.0,0.5,0.3333333333333333,1.0,0.16569771491358404,0.4579068213499902,0.28686305072245705,0.4662064968252066,1.0,0.7853152557870527,1.0,1.0,0.5,0.3333333333333333,1.0,0.11337267477704144,0.35099202430747,0.2599064990777664,0.4662064968252066,1.0,0.628458880590964,0.5,0.9285714285714285,0.5,0.3333333333333333,1.0,0.1610026428829346,0.4521982273505743,0.22530580832211267,0.4662064968252066,1.0,0.8051948051948052
industry=99,14,6,0.85515873015873,0.875,0.8,0.6666666666666666,1.0,0.19889853012005956,0.6466886572523194,0.3207910744437308,0.4662064968252066,1.0,0.32683607973616746,0.85515873015873,0.875,0.8571428571428571,0.75,1.0,0.17061906333708463,0.5150237196425923,0.31076546506013875,0.4662064968252066,1.0,0.2794259618335396,0.675,0.8125,0.8571428571428571,0.75,1.0,0.15572817247041457,0.5069528746432808,0.16035893442092145,0.4662064968252066,1.0,0.2
