company,mdate,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,Merge_Code,產業別,GICS_Category
1519 華城,2017/06,0.2786075601808989,0.07367109312170458,-0.09915889192175105,0.4412857374675934,1.02425448163599,15,0,0,0,0,0,1519,電機機械,8
1521 大億,2016/12,0.1445032946908196,0.252577025692759,0.2404761682392921,0.399398194961297,0.8664599278857396,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2014/12,0.1478754171890381,0.2214832444145453,0.1950239049805521,0.4089591753379708,0.8664721874779683,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2018/12,0.1744795190589517,0.2665846611813015,0.2489194079932888,0.3815065597151218,0.9118511749114148,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2020/06,0.1312311771294838,0.2320514496831038,-0.1066544205978051,0.4143892130873964,0.8359258235245047,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2014/06,0.1175980658284501,0.1817482144292159,0.05414673309028015,0.4445565768766301,0.8148165246957417,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2021/06,0.1535593577229525,0.2513197537992926,0.0173616008758036,0.403771448223144,0.8632078347565059,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2024/12,0.2976224680285768,0.3146146646156774,0.1983378935408052,0.2915368309935394,1.15553338546265,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2019/12,0.1745938824276603,0.2684420236085903,0.2023575008525766,0.3901178556768834,0.9015598319116849,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2023/06,0.2132158133763833,0.2522071382786004,0.1401836795076862,0.3954677621865673,0.9328946424471521,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2015/12,0.163469679558029,0.2314516224733604,0.22935245426975,0.4128374117122826,0.8807935057692249,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2015/06,0.1198252163073343,0.1924754821542574,0.1057299159593099,0.4459842643853636,0.8159652318378269,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2020/12,0.1252707411041429,0.2355393192296218,0.0960066168122448,0.4189188946041862,0.8259941817561727,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2017/12,0.1764404216796133,0.262070577244667,0.2728764204258665,0.398190038175233,0.9015094227925176,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2019/06,0.1390117381529814,0.2339219702232004,0.02645855997019767,0.4222929633919686,0.8423674906880528,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2016/06,0.1139620019102821,0.2021393342740196,0.1113460645858599,0.4428457752686437,0.8097880500790745,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2022/06,0.1471225901357071,0.240287282319462,0.1077249779452103,0.4069194654599383,0.8564514267850736,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2021/12,0.1516953128023865,0.2468007792389442,0.0492559882713547,0.3981177311379849,0.8650426001339215,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2017/06,0.1078501170364942,0.2114975660566704,0.09438258820265683,0.4442387993673483,0.8026191276388925,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2018/06,0.1267650647256396,0.2141107492900621,0.09944762178190487,0.4429742918812846,0.8218117307828368,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2023/12,0.245401282216253,0.2572756691727538,0.2439802357258305,0.3864569344510876,0.9778154173535964,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2022/12,0.1989021961553887,0.2650965424514068,0.256237412038074,0.3772863008846167,0.9307436273502661,15,0,0,0,0,0,1521,汽車工業,5
1521 大億,2024/06,0.274160196467412,0.28506100546478,0.01909023368263149,0.3432716928947139,1.057781422682881,15,0,0,0,0,0,1521,汽車工業,5
1522 堤維西,2020/06,0.06155080759731958,0.08551206918442178,0.03448497914842086,0.5411135850975528,0.792271763389345,15,0,0,0,0,0,1522,汽車工業,5
1522 堤維西,2018/12,0.05805969530103776,0.09259064672382529,0.09611555386286874,0.5257835407415786,0.7733689942295224,15,0,0,0,0,0,1522,汽車工業,5
