coid,mdate,tcri,scr,xcdt,company,WorkingCapital_TotalAssets,RetainedEarnings_TotalAssets,CashFlow_TotalDebt,TotalDebt_TotalAssets,CurrentRatio,stock_prefix,WorkingCapital_TotalAssets_miss,RetainedEarnings_TotalAssets_miss,CashFlow_TotalDebt_miss,TotalDebt_TotalAssets_miss,CurrentRatio_miss,產業別,GICS_Category
2945,2020-12-01,6,512.0,,2945 三商家購,-0.0848322351521092,0.0399467231118551,0.2218062631827163,0.5545015903177815,0.5982374184224571,29,0,0,0,0,0,貿易百貨業,0
2945,2021-12-01,6,548.0,,2945 三商家購,0.030669658335605,0.0397891617298178,0.3030508123071946,0.5066707366525746,0.7292512194459981,29,0,0,0,0,0,貿易百貨業,0
2945,2022-12-01,6,446.0,,2945 三商家購,0.0258024672159415,0.020476348897685,0.1619744604003672,0.5165910319028646,0.7224824142050768,29,0,0,0,0,0,貿易百貨業,0
2945,2023-12-01,6,484.0,,2945 三商家購,0.0438544714096311,0.0283494634848986,0.2341095657122495,0.5177286523605975,0.7436281496947871,29,0,0,0,0,0,貿易百貨業,0
2945,2024-12-01,6,480.0,,2945 三商家購,-0.0061104944613529,0.0345381091499053,0.1216562090279605,0.5195113398198298,0.6856039935990929,29,0,0,0,0,0,貿易百貨業,0
3002,2014-12-01,6,405.0,,3002 歐格,0.550941257649619,0.151246839601224,0.104604051870835,0.1851988300794868,2.582304193083109,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2015-12-01,6,400.0,,3002 歐格,0.5569183348384582,0.1326462990240009,0.1405806408447195,0.1837822813337001,2.732610510074311,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2016-12-01,6,431.0,,3002 歐格,0.5636491022209473,0.1489740768055433,0.0590952363909592,0.1851461751286404,2.793278824879931,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2017-12-01,6,381.0,,3002 歐格,0.5350643368435144,0.1413237378626559,0.2008874642068109,0.2148064957743362,2.222519782155879,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2018-12-01,6,337.0,,3002 歐格,0.5455320547049759,0.116836873335679,0.0067487090201774,0.2262640906652299,2.368837606998507,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2019-12-01,6,341.0,,3002 歐格,0.5487700448214048,0.1406399085163979,0.055385725389566,0.236658456378787,2.245051550490446,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2020-12-01,6,355.0,,3002 歐格,0.5541875196278294,0.1465165852036636,0.1218239886856722,0.2425481492765386,2.266923482798994,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2021-12-01,6,283.0,,3002 歐格,0.5547835169657489,0.1478367964991151,-0.0919469000301663,0.2464581146016347,2.288175537530916,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2022-12-01,6,319.0,,3002 歐格,0.5679004864081615,0.1505477238104281,-0.050658057669286,0.2299392654695404,2.424377543863909,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2023-12-01,6,286.0,,3002 歐格,0.574337666554616,0.1490014137297214,0.1293566386822968,0.2254429639904295,2.461123686402666,30,0,0,0,0,0,電腦及週邊設備業,1
3002,2024-12-01,6,270.0,,3002 歐格,0.5740436674130559,0.1287929480804491,-0.137876115548632,0.2228015228460583,2.370124790802905,30,0,0,0,0,0,電腦及週邊設備業,1
3003,2014-12-01,5,558.0,,3003 健和興,0.4740714477574582,0.2963789687179087,0.2236054106205761,0.1982605934476564,1.858379326360755,30,0,0,0,0,0,電子零組件業,1
3003,2015-12-01,5,555.0,,3003 健和興,0.4254503175510482,0.3004963118522483,0.4124721282185224,0.2144379998135134,1.649956011204375,30,0,0,0,0,0,電子零組件業,1
3003,2016-12-01,5,563.0,,3003 健和興,0.4377041647757635,0.3109026046368202,0.3314702583244526,0.2372465950019708,1.588824514588851,30,0,0,0,0,0,電子零組件業,1
3003,2017-12-01,5,578.0,,3003 健和興,0.4476883268425363,0.3364599987812404,0.3617621259609649,0.2327503418128775,1.646673069006363,30,0,0,0,0,0,電子零組件業,1
3003,2018-12-01,5,559.0,,3003 健和興,0.4387383346448006,0.3663694909469878,0.1352761742560513,0.2468311937603828,1.566229263657246,30,0,0,0,0,0,電子零組件業,1
3003,2019-12-01,5,536.0,,3003 健和興,0.4260720021108668,0.3872749145872883,0.3425385659683898,0.2583646913481131,1.494749255146881,30,0,0,0,0,0,電子零組件業,1
3003,2020-12-01,5,524.0,,3003 健和興,0.4168460507507492,0.3951197120866275,0.2028562945481677,0.2588689036226579,1.456422017206318,30,0,0,0,0,0,電子零組件業,1
3003,2021-12-01,5,624.0,,3003 健和興,0.4177885898606665,0.3961645821059481,0.0203942814287645,0.2913047128968474,1.3871272817512,30,0,0,0,0,0,電子零組件業,1
3003,2022-12-01,5,628.0,,3003 健和興,0.4801762888737804,0.4517496812448689,0.5366172878715942,0.2152078609778511,1.80304191915809,30,0,0,0,0,0,電子零組件業,1
3003,2023-12-01,5,550.0,,3003 健和興,0.4782833130779137,0.4641539099867753,0.3107692858822048,0.2032037387926989,1.866124265633292,30,0,0,0,0,0,電子零組件業,1
3003,2024-12-01,5,533.0,,3003 健和興,0.4850398059119512,0.4718342218789012,0.0663376616142848,0.1977767057462103,1.805054240640293,30,0,0,0,0,0,電子零組件業,1
3004,2014-12-01,6,251.0,,3004 豐達科,0.0121258557355287,0.0892347407147806,0.1599492813423206,0.5185278490444742,0.7131183219964791,30,0,0,0,0,0,鋼鐵工業,8
3004,2015-12-01,5,579.0,,3004 豐達科,0.0498226032598913,0.1757646851340831,0.1621899393169179,0.3662297880693298,0.782062011519794,30,0,0,0,0,0,鋼鐵工業,8
3004,2016-12-01,5,451.0,,3004 豐達科,0.0371618306498313,0.1438090029261521,0.0961723497336243,0.4817814021454316,0.7869878755486883,30,0,0,0,0,0,鋼鐵工業,8
3004,2017-12-01,5,392.0,,3004 豐達科,0.0353989485991646,0.1599738969986085,0.101197275957577,0.4771932250403542,0.7804580187203481,30,0,0,0,0,0,鋼鐵工業,8
3004,2018-12-01,5,430.0,,3004 豐達科,0.0586189289489995,0.1745755670734963,0.0960991983290533,0.4866047026453516,0.8169919675485637,30,0,0,0,0,0,鋼鐵工業,8
